N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso,Tipo de Imóvel,Data do Leilão,Horário do Leilão
1555528667356,DF ,BRASILIA ,SETOR DE MANSOES DOM BOSCO (LAGO SUL) ,"SMDB CJ-04 LT-03 UNIDADE-C, N. s/n ",2461532.8,4432000.0,44.46,"Casa, 0.00 de área total, 794.13 de área privativa, 2250.00 de área do terreno,  5 qto(s), varanda, WC Emp, 4 sala(s), 1 lavabo(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555528667356,Casa,29/01/2024,10h00
8787704439224,DF ,BRASILIA ,CEILANDIA NORTE (CEILANDIA) ,"QNM 12, N. S/N, Apto 801, LT 28, VIA NM 12-A ",148475.4,262000.0,43.33,"Apartamento, 0.00 de área total, 60.16 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704439224,Apartamento,02/02/2024,10h00
0000010143175,DF ,BRASILIA ,ASA SUL ,"SGAS 902 ENTRADA B, N. S/N, SALA 223, ENTRADA B, LOTE 74 ",174893.7,295000.0,40.72,"Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143175,Sala,,
8787710352135,DF ,BRASILIA ,SETOR CENTRAL (GAMA) ,"A ESPECIAL LADO LESTE, N. SN, Apto 1210, BL C, ÁREA ESPECIAL 24/25 ",115679.22,193800.0,40.31,"Apartamento, 0.00 de área total, 34.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710352135,Apartamento,29/01/2024,10h00
1444401166670,DF ,BRASILIA ,CEILANDIA NORTE (CEILANDIA) ,"QNO-6 CJ-P LT 45, N. 00 ",266011.8,443353.0,40.0,"Casa, 0.00 de área total, 236.91 de área privativa, 144.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401166670,Casa,22/01/2024,10h00
8555507424860,DF ,BRASILIA ,RECANTO DAS EMAS ,"VIA PÚBLICA, N. S/N, QD QR 406, LT 11, CJ H ",98947.13,164911.89,40.0,"Casa, 0.00 de área total, 84.70 de área privativa, 112.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555507424860,Casa,02/02/2024,10h00
8555532676028,DF ,BRASILIA ,SETOR MEIRELES (SANTA MARIA) ,"AVENIDA MONUMENTAL, N. SN, Apto 304, BL R, CONDOMÍNIO 8 ",92400.0,154000.0,40.0,"Apartamento, 0.00 de área total, 56.80 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555532676028,Apartamento,05/02/2024,10h00
8787700138874,DF ,BRASILIA ,RIACHO FUNDO II ,"QUADRA QN 22, Apto 301, BLOCO 10 LOTES 1 A 5 CONJUNTO 03 ",292239.73,464167.3,37.05,"Apartamento, 97.71 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700138874,Apartamento,,
0000010143177,DF ,BRASILIA ,ASA SUL ,"SGAS 902, N. S/N, SALA 225, BLOCO B, CONJUNTO B ",170539.5,265000.0,35.65,"Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143177,Sala,,
1555520880786,DF ,BRASILIA ,SETOR CENTRAL (GAMA) ,"ENTREQUADRA 51-53 PROJECAO 2, N. S/N, Apto 1005 ",213180.0,330000.0,35.4,"Apartamento, 0.00 de área total, 75.15 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520880786,Apartamento,31/01/2024,10h00
