N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso,Tipo de Imóvel,Data do Leilão,Horário do Leilão
8444416706895,DF ,BRASILIA ,SAMAMBAIA SUL (SAMAMBAIA) ,"QUADRA 302, N. SN, Apto 103, LTS 9 E 10 CJ 12 BL A ",146208.6,258000.0,43.33,"Apartamento, 95.10 de área total, 55.77 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416706895,Apartamento,22/05/2024,10h00
0000010143175,DF ,BRASILIA ,ASA SUL ,"SGAS 902 ENTRADA B, N. S/N, SALA 223, ENTRADA B, LOTE 74 ",174893.7,295000.0,40.72,"Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143175,Sala,,
8555534743520,DF ,BRASILIA ,SETOR MEIRELES SANTA ,"RUA 300, N. SN, Apto 404, BLOCO V SETOR TOTAL VILLE  CONDOMINIO ",94200.0,157000.0,40.0,"Apartamento, 98.63 de área total, 45.17 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534743520,Apartamento,20/05/2024,10h00
8787700138874,DF ,BRASILIA ,RIACHO FUNDO II ,"QUADRA QN 22, Apto 301, BLOCO 10 LOTES 1 A 5 CONJUNTO 03 ",292239.73,464167.3,37.05,"Apartamento, 97.71 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700138874,Apartamento,,
0000010143177,DF ,BRASILIA ,ASA SUL ,"SGAS 902, N. S/N, SALA 225, BLOCO B, CONJUNTO B ",170539.5,265000.0,35.65,"Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143177,Sala,,
1555526095851,DF ,BRASILIA ,SAMAMBAIA NORTE (SAMAMBAIA) ,"QUADRA QS, N. 601, Apto 402, BL C LT 01 CJ 01 VAGA 105 ",138450.0,213000.0,35.0,"Apartamento, 124.77 de área total, 112.00 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555526095851,Apartamento,10/05/2024,10h00
8555536929052,DF ,BRASILIA ,SETOR MEIRELES SANTA ,"RUA 300, N. SN, Apto 102, BLOCO G LT 302 SETOR TOTAL VILLE  COND ",136500.0,210000.0,35.0,"Apartamento, 194.80 de área total, 116.13 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536929052,Apartamento,20/05/2024,10h00
0000010143176,DF ,BRASILIA ,ASA SUL ,"SGAS 902, N. S/N, CONJUNTO B, LOTE 74, SALA 224 ",203196.0,295000.0,31.12,"Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143176,Sala,,
1555516149797,DF ,BRASILIA ,TAGUATINGA SUL (TAGUATINGA) ,"QD CSG 11, N. SN, Apto 602, LT 01 E 02 ",182000.0,260000.0,30.0,"Apartamento, 84.14 de área total, 60.64 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555516149797,Apartamento,23/05/2024,10h00
1555528193818,DF ,BRASILIA ,SETOR INDUSTRIAL (TAGUATINGA) ,"QUADRA QI 3, N. SN, Apto 1209, BL 01 ",210000.0,300000.0,30.0,"Apartamento, 90.97 de área total, 55.25 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555528193818,Apartamento,06/05/2024,10h00
8555513311931,DF ,BRASILIA ,SETOR MEIRELES SANTA ,"RUA 400 N SN 302 G403SETOR TOTAL VILLE  CONDOMIN, N. SN, Apto 302, BL G ",85050.0,121500.0,30.0,"Apartamento, 62.73 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513311931,Apartamento,23/05/2024,10h00
0000010143174,DF ,BRASILIA ,ASA SUL ,"SGAS 902, N. 222, BLOCO B, LOTE 74, SALA 222, ENTRADA B ",190598.82,265000.0,28.08,"Sala, 0.00 de área total, 45.97 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143174,Sala,,
0000010143318,DF ,BRASILIA ,ASA SUL ,"SAU SUL QDR 05, N. S/N, SALA 309 ",97969.5,135000.0,27.43,"Sala, 0.00 de área total, 24.61 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143318,Sala,,
1444403321320,DF ,BRASILIA ,  ,"QUADRA QUADRA 38, N. 18, LT 18 CONJ B ",330000.0,440000.0,25.0,"Casa, 0.00 de área total, 24.00 de área privativa, 0.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403321320,Casa,22/05/2024,10h00
0000010170139,DF ,BRASILIA ,ASA NORTE ,"SCLN QD 114 LT 06, N. S/N, BL C, LJ 11 SS ",203000.0,203000.0,0.0,"Loja, 0.00 de área total, 37.62 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170139,Loja,05/06/2024,10h00
1555512660977,DF ,BRASILIA ,CEILANDIA SUL (CEILANDIA) ,"QNP 28, N. SN, CONJ T     LT 050 ",278000.0,278000.0,0.0,"Casa, 0.00 de área total, 120.00 de área privativa, 135.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512660977,Casa,10/07/2024,10h00
